Variable,Statistic,All Respondents,Recreational expense,Part time commercial,Subsistence,Full time commercial,Purely recreational,Cultural
Boat Length,Number of Respondents,330,99,92,49,33,25,4
,Mean,23.53030303030303,23.616161616161616,23.206521739130434,22.224489795918366,25.939393939393938,22.48,24.25
,Standard Error,0.3350540046802733,0.733747433359091,0.4497007667520238,0.7441754020496028,1.1773906964801206,1.37006082590032,3.25
,Median,22,22,23,21,25,21,23
Boat Horsepower,Number of Respondents,329,99,91,49,33,25,4
,Mean,249.51975683890578,284.949494949495,242.9120879120879,192.28571428571428,265.6060606060606,217.8,372.5
,Standard Error,14.574644110916097,42.771408651201995,14.68909913157052,17.49518884302371,25.294438071184867,36.894082633036604,173.17500781964276
,Median,200,180,220,150,230,155,245
Boat Age,Number of Respondents,320,97,89,48,31,23,4
,Mean,26.0875,26.8659793814433,27.382022471910112,28,24.64516129032258,20.304347826086957,21.75
,Standard Error,0.8316309348235464,1.5528787192103342,1.639457421798466,2.185136768038894,2.599234125039,2.4977735402819037,6.0878978309429606
,Median,26,28,29,26.5,23,20,16
Current Boat Owner,Number of Respondents,324,97,90,49,31,25,4
,Mean,12.885802469135802,13.587628865979381,12.455555555555556,13.775510204081632,13.387096774193548,10.52,14.5
,Standard Error,0.6403829667517551,1.2130051802419173,1.2332433524328756,1.6527305035761464,2.290080253725845,1.7739973694080458,7.984359711335656
,Median,9,10,8.5,11,9,8,8
Boat Purchase Price,Number of Respondents,307,90,87,46,31,22,4
,Mean,53148.05211726384,68967.8,44808.16091954023,42430.434782608696,51838.709677419356,51170,40250
,Standard Error,6824.183040506041,22176.225217306237,4586.207987323163,6647.643052996333,6765.837139819933,10541.751643139185,4479.118216792229
,Median,35000,30500,30000,29500,40000,36920,40500
Boat Current Market Value,Number of Respondents,309,92,86,47,31,23,4
,Mean,62221.553398058255,75459.23913043478,57779.186046511626,41361.70212765958,74258.06451612903,51834.782608695656,41250
,Standard Error,6992.748640581529,21589.347039585173,5991.230902022038,4136.816663925246,16398.660300770804,8230.019783703097,13287.682265918313
,Median,40000,40000,40000,35000,50000,45000,32500
Most Recent Years for major Vessel Improvement,Number of Respondents,227,68,62,33,24,17,3
,Mean,4.079295154185022,4.367647058823529,3.306451612903226,3.9393939393939394,4.041666666666667,4.0588235294117645,8.666666666666666
,Standard Error,0.2937424087366931,0.6267747100913876,0.39469559971500007,0.6029275076082283,1.06573640367851,1.1865378090555474,4.0551750201988135
,Median,2,2,2,3,2,2,8
