Variable,Statistic,All Respondents,Oahu,Hawaii,Maui,Kauai
Boat Length,Number of Respondents,330,116,122,51,39
,Mean,23.53030303030303,24.224137931034484,22.114754098360656,24,24.794871794871796
,Standard Error,0.3350540046802733,0.6734509358171583,0.45739741973644477,0.6205626795221304,0.9865351841713224
,Median,22,23,21,24,24
Boat Horsepower,Number of Respondents,329,116,121,51,39
,Mean,249.51975683890578,273.3534482758621,214.21487603305786,256.52941176470586,262.1794871794872
,Standard Error,14.574644110916097,32.653255895641685,20.304755263487753,22.50712049319149,23.844267335009828
,Median,200,200,180,225,240
Boat Age,Number of Respondents,320,113,118,50,37
,Mean,26.0875,27.646017699115045,25.161016949152543,24.8,26.62162162162162
,Standard Error,0.8316309348235464,1.3485442093274054,1.44486634569251,2.0048919763255806,2.476117562881908
,Median,26,27,24.5,24.5,29
Current Boat Owner,Number of Respondents,324,113,120,51,38
,Mean,12.885802469135802,12.938053097345133,13.358333333333333,11.843137254901961,13.236842105263158
,Standard Error,0.6403829667517551,1.1174177826233993,1.0475258186808514,1.4212318735684024,2.0566079222450577
,Median,9,9,10.5,9,8.5
Boat Purchase Price,Number of Respondents,307,109,111,49,36
,Mean,53148.05211726384,51570.79816513762,57290.45045045045,48642.857142857145,46597.083333333336
,Standard Error,6824.183040506041,7056.633259050088,17085.60620858812,6767.079676414249,8444.392133655592
,Median,35000,35000,30000,38000,27000
Boat Current Market Value,Number of Respondents,309,113,111,48,35
,Mean,62221.553398058255,53730.176991150445,67062.61261261262,60197.916666666664,74042.85714285714
,Standard Error,6992.748640581529,6377.536512289545,17328.956482952766,6928.8548233436695,16891.24097302041
,Median,40000,40000,35000,40000,45000
Most Recent Years for major Vessel Improvement,Number of Respondents,227,83,82,40,21
,Mean,4.079295154185022,2.927710843373494,5.2073170731707314,4.625,3.2857142857142856
,Standard Error,0.2937424087366931,0.3836134906078648,0.540371860787327,0.8628274183439895,0.4372144354719249
,Median,2,2,4,2,3
